train_acc,test_acc
0.9617333333333333,0.9817
0.9862166666666666,0.9846
0.9904666666666667,0.9893
0.99325,0.9901
0.9945333333333334,0.9913
0.9958166666666667,0.9904
0.9961,0.9901
0.99695,0.9893
0.9978666666666667,0.9915
0.9973833333333333,0.9922
0.9978333333333333,0.9913
0.9983666666666666,0.9917
0.9981666666666666,0.989
0.9984833333333333,0.9908
0.9986666666666667,0.9903
0.9987166666666667,0.9899
0.9986666666666667,0.9913
0.99895,0.991
0.9989333333333333,0.9905
0.9990166666666667,0.9909
0.9988666666666667,0.99
0.9988666666666667,0.9901
0.9985666666666667,0.9913
0.999,0.9926
0.9993166666666666,0.9893
0.9986833333333334,0.9893
0.9991333333333333,0.9901
0.9991,0.9906
0.9992666666666666,0.9844
0.9992333333333333,0.9923
0.9993333333333333,0.9905
0.9992,0.9907
0.9992666666666666,0.9892
0.9992,0.9902
0.9990666666666667,0.9898
0.9990333333333333,0.9903
0.9994833333333333,0.9905
0.9994333333333333,0.99
0.9994,0.9909
0.9994833333333333,0.9896
0.9994,0.9906
0.9996166666666667,0.988
0.9992,0.9901
0.9995166666666667,0.9881
0.9990666666666667,0.991
0.9994166666666666,0.9911
0.9996166666666667,0.9912
0.9993,0.9913
0.9993333333333333,0.99
0.9991666666666666,0.9911
