code,dimension,dimension_label,unit,unit_label,geo,geo_label,time,obs_value,obs_status
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",EU27_2020,European Union - 27 countries (from 2020),2020,16262,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",EU27_2020,European Union - 27 countries (from 2020),2021,65235,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",EU27_2020,European Union - 27 countries (from 2020),2022,57713,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",EU27_2020,European Union - 27 countries (from 2020),2023,45140,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",EU27_2020,European Union - 27 countries (from 2020),2024,40452,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",BE,Belgium,1980,0,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",BE,Belgium,1981,0,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",BE,Belgium,1982,0,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",BE,Belgium,1983,0,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",BE,Belgium,1984,0,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",BE,Belgium,1985,0,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",BE,Belgium,1986,0,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",BE,Belgium,1987,0,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",BE,Belgium,1988,0,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",BE,Belgium,1989,0,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",BE,Belgium,1990,1511,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",BE,Belgium,1991,0,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",BE,Belgium,1992,0,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",BE,Belgium,1993,23,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",BE,Belgium,1994,31,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",BE,Belgium,1995,133,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",BE,Belgium,1996,4,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",BE,Belgium,1997,0,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",BE,Belgium,1998,15,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",BE,Belgium,1999,85,
13_40,LOSS,Economic losses from weather- and climate-related extremes,CP_MEUR,"Million EUR, 2024 prices",BE,Belgium,2000,1,
