Unnamed: 0,ymd,bWendu,yWendu,tianqi,fengxiang,fengli,aqi,aqiInfo,aqiLevel
146,2018-05-26,30℃,17℃,小雨~多云,西南风,3-4级,143,轻度污染,3
147,2018-05-27,32℃,17℃,多云,西南风,3-4级,89,良,2
148,2018-05-28,30℃,16℃,晴,西北风,4-5级,178,中度污染,4
149,2018-05-29,31℃,16℃,多云,西北风,1-2级,41,优,1
150,2018-05-30,33℃,18℃,晴,西风,1-2级,46,优,1
151,2018-05-31,35℃,19℃,晴,南风,1-2级,79,良,2
152,2018-06-01,36℃,21℃,晴,西南风,3-4级,72,良,2
153,2018-06-02,35℃,21℃,多云,南风,3-4级,98,良,2
154,2018-06-03,32℃,19℃,多云,北风,1-2级,92,良,2
155,2018-06-04,35℃,20℃,晴,西南风,3-4级,69,良,2
156,2018-06-05,38℃,25℃,多云,西南风,4-5级,94,良,2
157,2018-06-06,36℃,25℃,多云,东风,1-2级,102,轻度污染,3
158,2018-06-07,33℃,22℃,多云,西南风,1-2级,60,良,2
159,2018-06-08,32℃,19℃,多云~雷阵雨,西南风,1-2级,43,优,1
160,2018-06-09,23℃,17℃,小雨,北风,1-2级,45,优,1
161,2018-06-10,27℃,17℃,多云,东南风,1-2级,51,良,2
162,2018-06-11,29℃,19℃,多云,西南风,3-4级,85,良,2
163,2018-06-12,32℃,19℃,多云~雷阵雨,东南风,1-2级,116,轻度污染,3
164,2018-06-13,28℃,19℃,雷阵雨~多云,东北风,1-2级,73,良,2
165,2018-06-14,31℃,20℃,多云,南风,1-2级,54,良,2
166,2018-06-15,32℃,20℃,多云,东南风,3-4级,117,轻度污染,3
167,2018-06-16,31℃,21℃,多云~雷阵雨,南风,1-2级,103,轻度污染,3
168,2018-06-17,31℃,22℃,阴~雷阵雨,南风,1-2级,71,良,2
169,2018-06-18,30℃,21℃,雷阵雨,西南风,1-2级,112,轻度污染,3
170,2018-06-19,32℃,20℃,多云~晴,东北风,1-2级,81,良,2
171,2018-06-20,35℃,21℃,晴,南风,1-2级,71,良,2
172,2018-06-21,35℃,24℃,多云,南风,1-2级,73,良,2
173,2018-06-22,30℃,21℃,雷阵雨~多云,东南风,1-2级,83,良,2
174,2018-06-23,35℃,24℃,多云~晴,南风,1-2级,104,轻度污染,3
175,2018-06-24,36℃,25℃,多云,南风,3-4级,98,良,2
176,2018-06-25,34℃,24℃,雷阵雨,南风,1-2级,101,轻度污染,3
177,2018-06-26,36℃,25℃,晴,西南风,3-4级,174,中度污染,4
178,2018-06-27,37℃,25℃,多云,东北风,3-4级,54,良,2
